CODE,cluster
10641,0
11048,0
11368,4
11787,2
12988,7
17225,8
17352,6
18624,0
20467,4
22793,7
23465,3
23983,2
24012,0
25603,0
26481,4
27229,0
27373,7
27457,2
27618,0
28369,3
28402,5
28574,3
28586,4
28804,1
28810,3
28938,3
29318,5
29491,0
29510,1
29565,5
29624,5
29642,8
29645,7
30050,0
30194,4
30425,7
30717,0
30843,7
31019,7
31398,9
31417,1
31441,4
31446,9
31655,0
31895,2
31925,2
31940,0
32056,2
32318,5
32421,5
32430,6
32474,6
32637,6
32784,0
32834,6
32862,4
32897,1
33068,7
33111,0
33129,0
33234,5
33273,5
33277,0
33472,2
33830,3
33860,5
33882,0
33892,4
34121,8
34131,0
34249,0
34275,2
34289,0
34310,0
34427,2
34440,3
34472,3
34604,6
34769,5
35012,5
35030,5
35043,2
35125,0
35134,7
35143,6
35146,1
35233,0
35238,1
35258,4
35362,7
35367,2
35470,7
35533,2
35540,3
35553,0
35745,4
35746,7
35799,4
35819,3
35850,0
35851,2
35889,5
35890,0
35900,0
35908,1
35909,8
35936,4
35948,4
35959,0
35995,2
36041,0
36134,2
36154,0
36267,0
36281,2
36315,0
36344,1
36368,5
36441,2
36476,9
36504,8
36515,0
36517,1
36538,1
36542,3
36552,4
36597,7
36619,0
36659,2
36666,3
36675,2
36706,6
36710,4
36721,5
36726,0
36749,7
36805,7
36816,2
36817,6
36821,3
36833,2
36835,0
36838,3
36840,3
36847,7
36849,5
36854,7
36871,4
36878,1
36886,0
36899,3
36924,5
36928,2
36935,7
36947,7
36950,9
36958,7
36971,5
36985,7
36987,5
36990,0
36991,7
36999,7
37000,0
37001,3
37002,7
37004,0
37012,8
37015,9
37023,7
37025,2
37026,0
37051,5
37073,2
37104,0
37112,0
37167,7
37219,4
37223,9
37270,0
37290,6
37306,2
37327,1
37332,0
37333,0
37386,0
37472,2
37492,5
37501,4
37520,0
37528,2
37733,7
37765,1
37793,6
37796,2
37993,7
37997,7
38000,7
38008,4
38019,7
38027,7
38030,6
38031,3
38040,0
38045,6
38087,0
38090,1
38094,0
38101,7
38137,2
38142,2
38147,0
38168,5
38187,2
38190,0
38228,1
38251,5
38265,0
38269,2
38278,0
38280,2
38297,2
38309,8
38310,4
38329,0
38345,4
38356,2
38363,4
38378,0
38416,2
38458,0
38464,0
38472,4
38478,0
38512,0
38519,3
38535,0
38543,0
38566,1
38619,5
38630,0
38660,3
38669,5
38692,0
38716,0
38731,5
38742,2
38749,0
38823,10
38825,0
38865,0
38877,2
38882,0
38917,3
38919,9
38921,2
38936,5
38963,0
38984,0
39044,0
39080,0
39083,3
39098,0
39100,5
39168,3
39294,3
39380,3
39502,1
39510,3
39543,0
39577,5
39584,1
39601,2
39638,9
39703,0
39738,0
39739,0
39740,6
39750,4
39754,0
39758,8
39767,0
39802,0
39809,2
39836,9
39840,6
39841,1
39855,7
39857,1
39878,0
39887,2
39917,6
39948,2
39966,2
40000,3
40007,0
40038,7
40041,0
40044,7
40063,6
40064,0
40067,0
40068,0
40075,2
40077,7
40108,9
40117,2
40128,0
40170,5
40172,2
40179,6
40181,8
40192,0
40198,7
40203,7
40207,4
40241,0
40243,2
40253,5
40313,7
40329,7
40379,0
40406,5
40423,0
40495,0
40544,2
40550,4
40596,0
40604,2
40614,0
40631,7
40721,0
40726,6
40863,10
40872,5
40893,7
41004,1
41013,0
41047,0
41049,0
41338,7
41412,0
41435,0
41568,2
41593,0
41735,1
41736,3
41848,2
41900,2
42064,0
42178,0
42180,0
42206,2
42216,6
42219,5
42225,0
42244,0
42254,3
42255,0
42257,1
42259,0
42261,2
42311,4
42316,0
42319,7
42327,0
42334,8
42342,0
42348,0
42355,7
42367,3
42368,7
42378,2
42388,7
42418,0
42423,7
42437,0
42444,0
42445,0
42448,2
42450,9
42452,2
42462,7
42463,0
42466,1
42474,7
42507,1
42522,4
42524,0
42526,0
42531,4
42532,0
42538,0
42539,2
42545,1
42557,2
42570,6
42621,0
42628,6
42632,7
42635,7
42642,7
42643,4
42648,4
42649,0
42650,3
42656,7
42661,0
42674,8
42675,1
42684,7
42685,0
42701,0
42703,1
42708,0
42709,2
42714,1
42718,6
42722,0
42723,9
42727,0
42731,4
42732,0
42743,1
42747,7
42753,2
42759,2
42760,0
42767,0
42785,5
42789,1
42792,3
42794,0
42796,2
42797,0
42800,0
42808,7
42813,7
42814,0
42821,2
42826,6
42829,6
42830,0
42831,1
42847,10
42853,7
42856,4
42861,7
42863,3
42870,0
42872,6
42873,5
42877,8
42884,0
42888,0
42897,7
42901,4
42902,8
42906,0
42922,3
42924,1
42927,4
42929,4
42931,7
42939,0
42940,2
42941,7
42944,0
42951,0
42961,0
42969,0
42975,0
42978,1
42980,7
42989,0
42992,0
42996,2
42997,5
42998,0
43001,0
43002,6
43004,0
43005,0
43006,0
43008,0
43010,3
43012,0
43015,0
43016,5
43018,0
43022,4
43023,7
43026,6
43038,3
43040,0
43041,1
43051,0
43060,6
43075,7
43081,2
43082,7
43119,0
43132,0
43139,0
43146,2
43150,2
43157,5
43165,0
43173,7
43228,0
43237,2
43239,1
43244,7
43248,6
43278,4
43291,2
43307,4
43322,0
43372,0
43373,0
43377,7
43399,5
43402,5
43413,0
43421,0
43453,3
43472,5
43487,6
43489,6
43496,2
43568,2
43616,2
43698,3
43759,1
43833,2
43843,5
43866,2
43924,0
43974,0
43975,0
43986,0
44018,1
44051,5
44052,2
44056,0
44078,1
44167,4
44208,2
44242,0
44282,3
44284,0
44319,2
44334,6
44390,7
44419,0
44453,0
44454,4
44459,0
44467,0
44478,2
44485,1
44523,0
44553,4
44563,7
44570,4
44571,2
44588,0
44618,0
44623,0
44677,5
44690,1
44737,3
44756,0
44758,3
44760,0
44883,2
44964,10
45004,0
45025,1
45064,0
45092,0
45111,2
45127,7
45151,3
45177,2
45224,6
45230,1
45250,9
45263,0
45267,5
45274,2
45278,0
45289,0
45306,0
45328,1
45336,0
45340,3
45341,0
45370,6
45378,2
45406,0
45408,0
45410,0
45561,2
45562,5
45588,3
45589,0
45661,3
45695,4
45708,2
45725,0
45730,2
45803,0
45814,2
45816,0
45850,0
45859,0
45903,10
45945,6
46025,4
46064,2
46076,5
46098,7
46156,3
46157,3
46172,2
46223,5
46226,3
46263,5
46339,2
46349,0
46353,0
46379,1
46397,2
46407,7
46540,0
46558,0
46574,3
46580,2
46600,5
46629,5
46649,7
46654,2
46784,4
46862,0
46886,5
46929,0
46957,0
47012,6
47031,1
47037,5
47038,7
47041,9
47088,3
47090,0
47093,1
47100,0
47120,8
47144,5
47175,2
47220,2
47253,0
47286,5
47287,0
47300,0
47307,7
47322,1
47323,7
47328,4
47329,0
47336,0
47337,0
47360,2
47366,0
47367,2
47373,3
47378,4
47382,7
47386,2
47401,3
47404,2
47408,6
47414,0
47421,7
47424,8
47425,4
47426,9
47444,3
47446,2
47449,0
47475,3
47499,0
47505,2
47514,3
47515,2
47516,3
47529,0
47530,5
47541,1
47556,2
47572,0
47591,0
47592,2
47595,2
47599,5
47611,5
47621,0
47629,2
47673,0
47682,0
47719,2
47720,3
47729,3
47736,4
47738,0
47739,6
47745,2
47755,2
47758,0
47760,6
47763,6
47769,6
47787,3
47790,0
47797,0
47801,2
47833,2
47844,5
47873,1
47874,0
47882,3
47907,0
47910,0
47918,6
47925,2
47928,9
47939,5
47942,0
47948,5
47957,5
47976,0
47978,7
47983,3
47985,5
47995,2
48013,0
48048,3
48052,5
48054,9
48056,7
48059,2
48065,3
48066,3
48070,2
48071,5
48081,3
48091,3
48095,0
48111,1
48112,0
48121,3
48126,0
48137,2
48155,3
48174,0
48199,3
48201,4
48203,5
48205,9
48208,2
48228,2
48231,0
48243,0
48249,3
48271,2
48274,3
48286,0
48299,2
48308,5
48326,2
48332,0
48333,3
48345,1
48346,1
